site_name,floor,zone,day_type,hour_bucket,device_ping_count,unique_device_count,avg_dwell_minutes,repeat_visit_ratio,note
高新园区-科技馆,1F,foodcourt,weekday,17-20,49,9,5.9,0.23,模拟设备信号
老城步行街-2F,2F,corridor,weekend,14-17,60,10,4.1,0.2,模拟设备信号
城心天街-中庭,1F,entrance,weekend,10-12,194,38,13.2,0.21,模拟设备信号
高新园区-科技馆,1F,atrium,weekday,12-14,45,9,4.5,0.18,模拟设备信号
滨江写字楼-大堂,1F,exit,weekday,10-12,50,9,5.9,0.16,模拟设备信号
老城步行街-2F,2F,atrium,weekday,17-20,80,16,7.1,0.19,模拟设备信号
高新园区-科技馆,1F,corridor,weekend,14-17,23,4,3.2,0.21,模拟设备信号
城心天街-地下美食街,B1,entrance,weekday,10-12,137,28,13.1,0.22,模拟设备信号
老城步行街-临街口,1F,foodcourt,weekend,14-17,233,42,13.4,0.32,模拟设备信号
老城步行街-2F,2F,exit,weekday,17-20,69,12,6.7,0.22,模拟设备信号
滨江写字楼-3F通廊,3F,entrance,weekend,12-14,53,11,5.0,0.17,模拟设备信号
城心天街-中庭,1F,corridor,weekday,12-14,100,18,5.9,0.3,模拟设备信号
滨江写字楼-3F通廊,3F,exit,weekend,14-17,31,6,4.2,0.18,模拟设备信号
高新园区-地铁接驳厅,B1,exit,weekend,20-22,76,16,5.8,0.14,模拟设备信号
滨江写字楼-大堂,1F,atrium,weekday,14-17,72,13,7.1,0.16,模拟设备信号
滨江写字楼-大堂,1F,foodcourt,weekend,17-20,168,26,8.2,0.19,模拟设备信号
高新园区-科技馆,1F,entrance,weekend,10-12,31,6,4.7,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,corridor,weekend,20-22,61,12,4.2,0.2,模拟设备信号
城心天街-中庭,1F,entrance,weekend,17-20,313,59,12.9,0.32,模拟设备信号
城心天街-地下美食街,B1,foodcourt,weekday,12-14,223,46,13.5,0.24,模拟设备信号
滨江写字楼-大堂,1F,corridor,weekday,14-17,41,7,4.3,0.14,模拟设备信号
高新园区-地铁接驳厅,B1,foodcourt,weekday,20-22,63,12,6.7,0.21,模拟设备信号
城心天街-中庭,1F,foodcourt,weekday,17-20,192,34,12.3,0.32,模拟设备信号
高新园区-科技馆,1F,entrance,weekday,17-20,46,9,5.3,0.21,模拟设备信号
高新园区-地铁接驳厅,B1,exit,weekend,10-12,88,16,5.9,0.21,模拟设备信号
城心天街-地下美食街,B1,atrium,weekend,10-12,151,36,9.8,0.26,模拟设备信号
滨江写字楼-大堂,1F,entrance,weekday,20-22,62,16,7.4,0.13,模拟设备信号
滨江写字楼-3F通廊,3F,corridor,weekend,17-20,27,5,3.1,0.2,模拟设备信号
滨江写字楼-大堂,1F,atrium,weekend,10-12,99,18,7.3,0.18,模拟设备信号
老城步行街-2F,2F,entrance,weekday,12-14,116,20,7.8,0.2,模拟设备信号
老城步行街-临街口,1F,atrium,weekday,17-20,149,38,10.0,0.26,模拟设备信号
城心天街-中庭,1F,entrance,weekday,10-12,126,19,10.8,0.23,模拟设备信号
城心天街-中庭,1F,atrium,weekend,17-20,245,47,9.7,0.35,模拟设备信号
城心天街-地下美食街,B1,exit,weekday,20-22,95,20,7.7,0.24,模拟设备信号
滨江写字楼-3F通廊,3F,atrium,weekday,20-22,30,5,4.7,0.19,模拟设备信号
滨江写字楼-3F通廊,3F,exit,weekday,14-17,28,6,3.8,0.14,模拟设备信号
高新园区-地铁接驳厅,B1,corridor,weekday,14-17,37,8,4.1,0.21,模拟设备信号
城心天街-地下美食街,B1,exit,weekend,10-12,138,29,8.5,0.32,模拟设备信号
城心天街-中庭,1F,exit,weekday,12-14,142,26,10.6,0.29,模拟设备信号
滨江写字楼-3F通廊,3F,foodcourt,weekday,20-22,29,6,6.0,0.2,模拟设备信号
城心天街-中庭,1F,atrium,weekday,12-14,187,34,10.2,0.23,模拟设备信号
高新园区-地铁接驳厅,B1,atrium,weekend,17-20,155,26,7.9,0.18,模拟设备信号
城心天街-中庭,1F,corridor,weekend,20-22,105,23,7.1,0.22,模拟设备信号
老城步行街-临街口,1F,exit,weekend,20-22,146,29,10.7,0.34,模拟设备信号
老城步行街-2F,2F,foodcourt,weekday,17-20,101,22,8.4,0.19,模拟设备信号
滨江写字楼-3F通廊,3F,atrium,weekend,14-17,33,6,5.3,0.14,模拟设备信号
滨江写字楼-大堂,1F,atrium,weekend,14-17,87,18,6.2,0.16,模拟设备信号
城心天街-地下美食街,B1,foodcourt,weekend,14-17,231,37,10.2,0.23,模拟设备信号
老城步行街-临街口,1F,corridor,weekday,14-17,78,14,7.0,0.29,模拟设备信号
滨江写字楼-大堂,1F,exit,weekend,14-17,80,19,6.5,0.14,模拟设备信号
高新园区-地铁接驳厅,B1,atrium,weekday,12-14,95,17,5.7,0.15,模拟设备信号
城心天街-地下美食街,B1,corridor,weekend,14-17,133,24,7.6,0.29,模拟设备信号
老城步行街-临街口,1F,foodcourt,weekday,17-20,187,33,14.1,0.22,模拟设备信号
老城步行街-2F,2F,foodcourt,weekend,10-12,105,16,8.8,0.22,模拟设备信号
高新园区-地铁接驳厅,B1,foodcourt,weekday,10-12,62,11,8.3,0.18,模拟设备信号
老城步行街-2F,2F,atrium,weekday,12-14,109,15,7.4,0.22,模拟设备信号
高新园区-地铁接驳厅,B1,entrance,weekday,20-22,73,14,8.1,0.21,模拟设备信号
城心天街-地下美食街,B1,atrium,weekend,20-22,155,36,9.9,0.3,模拟设备信号
城心天街-地下美食街,B1,entrance,weekend,10-12,180,32,11.3,0.21,模拟设备信号
高新园区-科技馆,1F,exit,weekday,14-17,22,6,3.7,0.13,模拟设备信号
滨江写字楼-3F通廊,3F,entrance,weekday,10-12,24,6,4.9,0.21,模拟设备信号
老城步行街-2F,2F,corridor,weekday,20-22,42,7,3.7,0.22,模拟设备信号
滨江写字楼-大堂,1F,atrium,weekend,12-14,143,26,6.2,0.19,模拟设备信号
滨江写字楼-大堂,1F,exit,weekend,10-12,85,17,5.1,0.23,模拟设备信号
老城步行街-2F,2F,atrium,weekend,17-20,131,33,6.8,0.18,模拟设备信号
滨江写字楼-3F通廊,3F,exit,weekend,20-22,26,6,3.9,0.21,模拟设备信号
城心天街-中庭,1F,atrium,weekday,10-12,117,18,9.7,0.24,模拟设备信号
城心天街-地下美食街,B1,corridor,weekday,14-17,77,12,5.8,0.34,模拟设备信号
老城步行街-临街口,1F,corridor,weekend,20-22,117,23,7.2,0.32,模拟设备信号
城心天街-地下美食街,B1,foodcourt,weekday,20-22,151,22,14.1,0.23,模拟设备信号
老城步行街-2F,2F,corridor,weekend,10-12,55,9,4.2,0.2,模拟设备信号
高新园区-科技馆,1F,exit,weekend,20-22,28,6,3.4,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,exit,weekend,12-14,123,26,5.5,0.22,模拟设备信号
城心天街-中庭,1F,foodcourt,weekend,10-12,160,35,10.2,0.35,模拟设备信号
高新园区-地铁接驳厅,B1,corridor,weekend,10-12,53,11,4.2,0.2,模拟设备信号
老城步行街-2F,2F,atrium,weekday,14-17,66,12,7.2,0.18,模拟设备信号
滨江写字楼-3F通廊,3F,corridor,weekday,20-22,19,3,2.9,0.13,模拟设备信号
城心天街-地下美食街,B1,foodcourt,weekend,20-22,228,36,10.5,0.27,模拟设备信号
滨江写字楼-3F通廊,3F,corridor,weekend,14-17,22,5,3.2,0.13,模拟设备信号
高新园区-科技馆,1F,corridor,weekend,12-14,34,7,2.8,0.19,模拟设备信号
老城步行街-临街口,1F,exit,weekend,12-14,256,54,8.6,0.26,模拟设备信号
老城步行街-2F,2F,atrium,weekend,20-22,98,20,7.3,0.15,模拟设备信号
老城步行街-2F,2F,corridor,weekday,12-14,59,10,4.9,0.13,模拟设备信号
高新园区-科技馆,1F,atrium,weekend,17-20,42,9,4.4,0.18,模拟设备信号
城心天街-地下美食街,B1,entrance,weekend,17-20,254,67,10.0,0.23,模拟设备信号
高新园区-科技馆,1F,entrance,weekend,12-14,58,10,5.3,0.21,模拟设备信号
滨江写字楼-大堂,1F,exit,weekday,12-14,86,18,6.3,0.17,模拟设备信号
老城步行街-2F,2F,entrance,weekend,20-22,95,19,6.6,0.13,模拟设备信号
城心天街-地下美食街,B1,atrium,weekend,12-14,235,53,12.5,0.36,模拟设备信号
老城步行街-2F,2F,corridor,weekend,17-20,91,16,4.4,0.15,模拟设备信号
高新园区-科技馆,1F,atrium,weekend,10-12,25,7,3.9,0.22,模拟设备信号
老城步行街-临街口,1F,corridor,weekday,20-22,70,16,7.1,0.26,模拟设备信号
老城步行街-临街口,1F,corridor,weekend,10-12,118,22,6.0,0.27,模拟设备信号
滨江写字楼-3F通廊,3F,atrium,weekday,14-17,24,6,3.8,0.14,模拟设备信号
城心天街-地下美食街,B1,exit,weekday,10-12,102,17,9.6,0.28,模拟设备信号
滨江写字楼-大堂,1F,foodcourt,weekend,20-22,95,25,8.4,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,exit,weekend,17-20,114,28,6.6,0.22,模拟设备信号
老城步行街-临街口,1F,exit,weekday,14-17,96,25,8.6,0.28,模拟设备信号
滨江写字楼-大堂,1F,atrium,weekend,17-20,147,22,6.6,0.18,模拟设备信号
城心天街-中庭,1F,exit,weekday,14-17,94,20,9.0,0.27,模拟设备信号
滨江写字楼-3F通廊,3F,exit,weekend,12-14,37,9,4.0,0.14,模拟设备信号
城心天街-地下美食街,B1,exit,weekday,17-20,145,27,8.1,0.27,模拟设备信号
老城步行街-临街口,1F,entrance,weekend,20-22,201,33,11.6,0.36,模拟设备信号
老城步行街-临街口,1F,atrium,weekend,10-12,183,38,10.3,0.25,模拟设备信号
滨江写字楼-3F通廊,3F,atrium,weekend,20-22,33,8,4.1,0.15,模拟设备信号
老城步行街-2F,2F,atrium,weekday,20-22,65,10,7.2,0.22,模拟设备信号
老城步行街-2F,2F,foodcourt,weekday,10-12,74,16,8.5,0.19,模拟设备信号
城心天街-地下美食街,B1,entrance,weekend,12-14,290,57,13.5,0.36,模拟设备信号
滨江写字楼-大堂,1F,foodcourt,weekday,12-14,93,18,6.7,0.2,模拟设备信号
城心天街-中庭,1F,foodcourt,weekend,14-17,211,43,11.2,0.34,模拟设备信号
高新园区-科技馆,1F,entrance,weekday,20-22,30,7,5.1,0.14,模拟设备信号
高新园区-地铁接驳厅,B1,corridor,weekend,17-20,85,16,4.4,0.19,模拟设备信号
滨江写字楼-大堂,1F,corridor,weekday,10-12,36,6,4.1,0.21,模拟设备信号
滨江写字楼-3F通廊,3F,entrance,weekday,17-20,43,10,4.4,0.15,模拟设备信号
滨江写字楼-大堂,1F,corridor,weekday,20-22,43,7,4.7,0.22,模拟设备信号
滨江写字楼-3F通廊,3F,exit,weekday,10-12,23,5,4.2,0.15,模拟设备信号
城心天街-地下美食街,B1,entrance,weekday,12-14,189,46,10.7,0.33,模拟设备信号
老城步行街-临街口,1F,corridor,weekday,17-20,102,22,7.2,0.32,模拟设备信号
滨江写字楼-大堂,1F,entrance,weekend,14-17,106,23,6.6,0.2,模拟设备信号
城心天街-中庭,1F,foodcourt,weekday,20-22,131,26,10.6,0.23,模拟设备信号
高新园区-地铁接驳厅,B1,foodcourt,weekday,12-14,107,26,7.1,0.22,模拟设备信号
高新园区-地铁接驳厅,B1,atrium,weekend,10-12,92,20,5.8,0.21,模拟设备信号
滨江写字楼-大堂,1F,atrium,weekday,12-14,106,19,7.7,0.21,模拟设备信号
高新园区-地铁接驳厅,B1,entrance,weekend,17-20,140,24,8.1,0.16,模拟设备信号
城心天街-中庭,1F,exit,weekday,20-22,94,23,9.1,0.34,模拟设备信号
老城步行街-2F,2F,atrium,weekend,10-12,96,17,5.9,0.18,模拟设备信号
滨江写字楼-3F通廊,3F,corridor,weekend,20-22,17,4,2.7,0.15,模拟设备信号
高新园区-科技馆,1F,entrance,weekday,12-14,40,9,4.3,0.18,模拟设备信号
城心天街-中庭,1F,entrance,weekday,20-22,129,30,11.2,0.29,模拟设备信号
高新园区-科技馆,1F,exit,weekday,10-12,19,5,4.4,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,entrance,weekend,14-17,110,21,8.6,0.19,模拟设备信号
老城步行街-2F,2F,foodcourt,weekday,14-17,73,13,8.0,0.13,模拟设备信号
高新园区-科技馆,1F,corridor,weekday,14-17,20,3,2.7,0.21,模拟设备信号
老城步行街-临街口,1F,atrium,weekday,20-22,106,19,12.1,0.3,模拟设备信号
滨江写字楼-3F通廊,3F,entrance,weekday,20-22,27,5,4.4,0.15,模拟设备信号
高新园区-科技馆,1F,foodcourt,weekday,10-12,31,7,4.3,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,atrium,weekday,10-12,53,13,6.7,0.2,模拟设备信号
滨江写字楼-大堂,1F,foodcourt,weekday,14-17,68,15,8.3,0.14,模拟设备信号
城心天街-中庭,1F,exit,weekend,12-14,231,51,10.2,0.23,模拟设备信号
滨江写字楼-大堂,1F,corridor,weekday,12-14,62,12,3.9,0.15,模拟设备信号
老城步行街-临街口,1F,foodcourt,weekend,10-12,197,34,11.9,0.29,模拟设备信号
城心天街-中庭,1F,atrium,weekend,12-14,251,63,11.3,0.3,模拟设备信号
滨江写字楼-3F通廊,3F,foodcourt,weekday,14-17,32,5,4.9,0.16,模拟设备信号
城心天街-地下美食街,B1,entrance,weekday,20-22,132,27,10.6,0.22,模拟设备信号
老城步行街-2F,2F,foodcourt,weekend,14-17,122,20,7.5,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,foodcourt,weekend,12-14,164,27,8.6,0.17,模拟设备信号
滨江写字楼-3F通廊,3F,exit,weekday,20-22,25,5,3.6,0.21,模拟设备信号
老城步行街-临街口,1F,entrance,weekday,10-12,113,22,12.0,0.36,模拟设备信号
老城步行街-2F,2F,foodcourt,weekday,12-14,102,19,8.2,0.16,模拟设备信号
城心天街-地下美食街,B1,atrium,weekend,17-20,271,41,11.9,0.25,模拟设备信号
高新园区-科技馆,1F,corridor,weekday,10-12,14,2,3.0,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,atrium,weekday,17-20,82,17,7.7,0.21,模拟设备信号
城心天街-中庭,1F,entrance,weekday,17-20,214,35,10.1,0.21,模拟设备信号
滨江写字楼-3F通廊,3F,atrium,weekend,10-12,32,6,5.1,0.19,模拟设备信号
高新园区-地铁接驳厅,B1,exit,weekday,14-17,62,12,5.2,0.23,模拟设备信号
老城步行街-临街口,1F,corridor,weekend,12-14,159,39,6.1,0.26,模拟设备信号
老城步行街-2F,2F,foodcourt,weekend,20-22,105,19,8.4,0.14,模拟设备信号
老城步行街-临街口,1F,entrance,weekend,12-14,267,63,12.0,0.24,模拟设备信号
高新园区-地铁接驳厅,B1,exit,weekday,20-22,50,11,5.9,0.14,模拟设备信号
滨江写字楼-大堂,1F,exit,weekend,20-22,86,14,4.9,0.23,模拟设备信号
滨江写字楼-大堂,1F,entrance,weekday,17-20,101,18,7.8,0.13,模拟设备信号
城心天街-中庭,1F,corridor,weekday,20-22,74,13,7.8,0.34,模拟设备信号
高新园区-地铁接驳厅,B1,exit,weekday,12-14,91,13,6.8,0.2,模拟设备信号
城心天街-地下美食街,B1,foodcourt,weekday,14-17,129,31,12.0,0.25,模拟设备信号
城心天街-地下美食街,B1,exit,weekday,14-17,113,20,8.7,0.34,模拟设备信号
高新园区-科技馆,1F,entrance,weekday,10-12,30,5,5.1,0.18,模拟设备信号
老城步行街-临街口,1F,entrance,weekday,20-22,129,25,12.6,0.26,模拟设备信号
滨江写字楼-大堂,1F,corridor,weekend,10-12,62,13,4.2,0.21,模拟设备信号
老城步行街-2F,2F,entrance,weekday,10-12,57,13,7.5,0.23,模拟设备信号
高新园区-科技馆,1F,entrance,weekend,14-17,37,8,5.2,0.15,模拟设备信号
滨江写字楼-3F通廊,3F,foodcourt,weekend,10-12,38,8,5.4,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,atrium,weekend,20-22,101,15,7.0,0.21,模拟设备信号
高新园区-科技馆,1F,foodcourt,weekend,20-22,33,8,5.8,0.19,模拟设备信号
滨江写字楼-大堂,1F,foodcourt,weekday,10-12,77,12,8.1,0.21,模拟设备信号
高新园区-地铁接驳厅,B1,entrance,weekend,20-22,98,16,7.5,0.21,模拟设备信号
滨江写字楼-大堂,1F,corridor,weekend,20-22,55,10,3.6,0.18,模拟设备信号
城心天街-地下美食街,B1,foodcourt,weekday,17-20,186,45,14.1,0.24,模拟设备信号
滨江写字楼-3F通廊,3F,entrance,weekend,10-12,34,7,4.9,0.21,模拟设备信号
老城步行街-2F,2F,corridor,weekday,10-12,37,6,4.1,0.17,模拟设备信号
老城步行街-临街口,1F,atrium,weekend,14-17,208,36,11.4,0.35,模拟设备信号
高新园区-科技馆,1F,exit,weekend,17-20,35,9,3.8,0.13,模拟设备信号
高新园区-科技馆,1F,atrium,weekday,20-22,24,5,4.2,0.17,模拟设备信号
高新园区-科技馆,1F,entrance,weekday,14-17,34,6,4.3,0.15,模拟设备信号
老城步行街-2F,2F,corridor,weekday,17-20,63,13,4.6,0.23,模拟设备信号
城心天街-地下美食街,B1,foodcourt,weekend,12-14,333,51,13.7,0.34,模拟设备信号
高新园区-科技馆,1F,exit,weekend,12-14,39,7,3.3,0.18,模拟设备信号
高新园区-地铁接驳厅,B1,corridor,weekday,20-22,42,9,4.1,0.21,模拟设备信号
城心天街-地下美食街,B1,corridor,weekend,10-12,105,24,7.6,0.21,模拟设备信号
城心天街-地下美食街,B1,corridor,weekday,17-20,98,18,6.4,0.35,模拟设备信号
老城步行街-临街口,1F,foodcourt,weekend,12-14,277,52,12.3,0.36,模拟设备信号
老城步行街-临街口,1F,exit,weekday,12-14,158,36,8.4,0.21,模拟设备信号
滨江写字楼-3F通廊,3F,corridor,weekday,10-12,16,3,2.6,0.13,模拟设备信号
城心天街-地下美食街,B1,corridor,weekday,10-12,75,12,7.1,0.24,模拟设备信号
城心天街-中庭,1F,atrium,weekend,20-22,198,34,9.9,0.24,模拟设备信号
高新园区-地铁接驳厅,B1,foodcourt,weekend,10-12,97,20,7.1,0.15,模拟设备信号
城心天街-中庭,1F,corridor,weekday,10-12,71,12,7.0,0.35,模拟设备信号
老城步行街-2F,2F,entrance,weekday,17-20,90,23,6.1,0.22,模拟设备信号
老城步行街-2F,2F,exit,weekend,10-12,80,12,5.6,0.19,模拟设备信号
老城步行街-2F,2F,atrium,weekday,10-12,63,12,7.3,0.18,模拟设备信号
滨江写字楼-大堂,1F,entrance,weekend,10-12,105,16,6.3,0.18,模拟设备信号
高新园区-地铁接驳厅,B1,entrance,weekend,12-14,154,33,6.7,0.17,模拟设备信号
老城步行街-2F,2F,exit,weekend,12-14,115,23,4.9,0.21,模拟设备信号
滨江写字楼-3F通廊,3F,corridor,weekend,12-14,32,7,3.2,0.19,模拟设备信号
滨江写字楼-3F通廊,3F,exit,weekend,10-12,25,6,3.8,0.2,模拟设备信号
高新园区-科技馆,1F,atrium,weekday,14-17,31,6,4.2,0.18,模拟设备信号
高新园区-科技馆,1F,foodcourt,weekend,14-17,38,7,5.7,0.18,模拟设备信号
城心天街-地下美食街,B1,atrium,weekend,14-17,208,43,10.2,0.22,模拟设备信号
城心天街-地下美食街,B1,atrium,weekday,10-12,108,22,10.8,0.35,模拟设备信号
滨江写字楼-大堂,1F,exit,weekend,12-14,133,29,5.4,0.21,模拟设备信号
高新园区-科技馆,1F,foodcourt,weekday,20-22,34,7,5.7,0.14,模拟设备信号
高新园区-科技馆,1F,atrium,weekend,12-14,48,11,5.1,0.17,模拟设备信号
滨江写字楼-3F通廊,3F,exit,weekend,17-20,40,8,4.5,0.18,模拟设备信号
高新园区-地铁接驳厅,B1,atrium,weekday,14-17,67,12,7.4,0.15,模拟设备信号
滨江写字楼-大堂,1F,exit,weekend,17-20,115,19,6.5,0.15,模拟设备信号
老城步行街-2F,2F,foodcourt,weekend,12-14,156,26,8.7,0.19,模拟设备信号
滨江写字楼-3F通廊,3F,foodcourt,weekend,14-17,39,9,4.8,0.2,模拟设备信号
城心天街-地下美食街,B1,exit,weekend,20-22,149,31,9.7,0.27,模拟设备信号
高新园区-科技馆,1F,exit,weekend,14-17,32,7,4.1,0.21,模拟设备信号
城心天街-中庭,1F,corridor,weekday,17-20,102,23,5.9,0.27,模拟设备信号
老城步行街-临街口,1F,entrance,weekend,14-17,223,38,12.3,0.33,模拟设备信号
高新园区-地铁接驳厅,B1,foodcourt,weekend,17-20,178,33,8.5,0.18,模拟设备信号
高新园区-科技馆,1F,corridor,weekday,17-20,26,5,3.0,0.17,模拟设备信号
老城步行街-临街口,1F,entrance,weekday,17-20,216,37,9.8,0.28,模拟设备信号
滨江写字楼-3F通廊,3F,foodcourt,weekend,17-20,51,10,4.8,0.23,模拟设备信号
高新园区-地铁接驳厅,B1,foodcourt,weekday,14-17,85,14,6.6,0.2,模拟设备信号
城心天街-地下美食街,B1,atrium,weekday,20-22,123,27,9.4,0.22,模拟设备信号
老城步行街-临街口,1F,corridor,weekday,10-12,65,12,5.7,0.33,模拟设备信号
